item,value,date
11658,0.0,2008-08-01
11658,0.0,2008-09-01
11658,10.0,2008-10-01
11658,0.0,2008-11-01
11658,13.0,2008-12-01
11659,359.0,2008-01-01
11659,584.0,2008-02-01
11659,817.0,2008-03-01
11659,927.0,2008-04-01
11659,1328.0,2008-05-01
11659,674.0,2008-06-01
11659,1806.0,2008-07-01
11659,519.0,2008-08-01
11659,711.0,2008-09-01
11659,634.0,2008-10-01
11659,469.0,2008-11-01
11659,586.0,2008-12-01
11660,297.0,2008-01-01
11660,327.0,2008-02-01
11660,271.0,2008-03-01
11660,262.0,2008-04-01
11660,368.0,2008-05-01
11660,436.0,2008-06-01
11660,435.0,2008-07-01
11660,280.0,2008-08-01
11660,239.0,2008-09-01
11660,424.0,2008-10-01
11660,260.0,2008-11-01
11660,130.0,2008-12-01
11661,77.0,2008-01-01
11661,60.0,2008-02-01
11661,169.0,2008-03-01
11661,112.0,2008-04-01
11661,209.0,2008-05-01
11661,220.0,2008-06-01
11661,255.0,2008-07-01
11661,137.0,2008-08-01
11661,25.0,2008-09-01
11661,106.0,2008-10-01
11661,98.0,2008-11-01
11661,33.0,2008-12-01
11663,187.0,2008-01-01
11663,324.0,2008-02-01
11663,354.0,2008-03-01
11663,421.0,2008-04-01
11663,453.0,2008-05-01
11663,269.0,2008-06-01
11663,269.0,2008-07-01
11663,105.0,2008-08-01
11663,156.0,2008-09-01
11663,168.0,2008-10-01
11663,221.0,2008-11-01
11663,282.0,2008-12-01
11683,0.0,2008-01-01
11683,0.0,2008-02-01
11683,0.0,2008-03-01
11683,0.0,2008-04-01
11683,0.0,2008-05-01
11683,0.0,2008-06-01
11683,0.0,2008-07-01
11683,0.0,2008-08-01
11683,0.0,2008-09-01
11683,0.0,2008-10-01
11683,0.0,2008-11-01
11683,0.0,2008-12-01
11688,0.0,2008-01-01
11688,0.0,2008-02-01
11688,0.0,2008-03-01
11688,0.0,2008-04-01
11688,0.0,2008-05-01
11688,0.0,2008-06-01
